display_name,class,retry_count,creator_calls_count_0,creator_calls_count_1,creator_calls_count_2,create_tool_duration,assessment_duration,validate_duration,test_duration,total_duration,total_tokens
Slab thickness,1,0.0,11.0,,,522.3860166072845,0.0,5.106164932250977,3.4686620235443115,530.9608435630798,256565.0
Riser height,1,1.0,15.0,8.0,,121.673659324646,0.0,44.9543936252594,23.65581202507019,190.2838649749756,231674.0
Tread length,1,2.0,9.0,5.0,9.0,820.4928505420685,201.52571773529053,18.319941997528076,4.142108678817749,1044.4806189537048,410602.0
Non-uniform risers/treads,2,2.0,15.0,14.0,15.0,994.7691135406494,84.74735832214355,145.36493229866028,23.174439191818237,1248.0558433532715,1159504.0
Stair--slab connection,2,2.0,11.0,15.0,15.0,492.94632029533386,20.54602313041687,156.13111996650696,29.73158836364746,699.3550517559052,378741.0
Doors and windows,2,0.0,11.0,,,226.8629777431488,0.0,45.771814584732056,23.421894311904907,296.05668663978577,130620.0
"Large spaces $\geq$\,2 doors",2,0.0,15.0,,,544.192241191864,0.0,6.12057638168335,4.011906862258911,554.3247244358063,315097.0
Same-storey elevation,2,2.0,11.0,15.0,15.0,1040.1825513839722,71.8132598400116,16.259717226028442,4.710224628448486,1132.9657530784607,1134142.0
Space validation (inside),2,2.0,15.0,15.0,15.0,2643.8803153038025,97.17928099632263,1449.0186412334442,17.89778733253479,4207.976024866104,1905445.0
Space validation (intersect),2,2.0,15.0,15.0,15.0,3258.3325669765472,73.77650809288025,224.46975135803223,16.062278985977173,3572.641105413437,1155980.0
Circular space (304.3.1),3,2.0,12.0,10.0,9.0,920.6663129329681,27.943660259246826,25.521535873413086,5.117343902587891,979.2488529682159,537669.0
Clear floor space (305.3),3,2.0,15.0,6.0,15.0,654.7387611865997,21.483008861541748,188.71950125694275,27.673799991607666,892.6150712966919,699135.0
Two doors in series (404.2.5),3,1.0,15.0,15.0,,587.5082521438599,60.23615384101868,92.59164190292358,24.54962158203125,764.8856694698334,1035423.0
Clearance front of doors,3,2.0,12.0,15.0,2.0,4497.989474058151,116.20910930633545,630.0358033180237,118.3057656288147,5362.540152311325,1774078.0
Slabs guarded against falling,3,2.0,12.0,14.0,15.0,3604.051896095276,302.8974530696869,427.4855136871338,222.10618543624878,4556.541048288345,1450573.0
Unallocated areas,3,2.0,15.0,15.0,15.0,2400.109175682068,144.63260316848755,153.52758049964905,15.980677604675293,2714.2500369548798,1121814.0
