display_name,class,run_id,status,has_trace,training_f1_avg,training_precision_aggregated,training_recall_aggregated,training_f1_aggregated,training_tp,training_fn,validation_f1_avg,validation_precision_aggregated,validation_recall_aggregated,validation_f1_aggregated,validation_tp,validation_fn,test_f1_avg,test_precision_aggregated,test_recall_aggregated,test_f1_aggregated,test_tp,test_fn
Slab thickness,1,6e0130e69a8b414c92ad79f633014407,FINISHED,True,1.0,1.0,1.0,1.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,3.0
Riser height,1,902ac82e4d3c4825815c8b35872e1bac,FINISHED,True,0.75,1.0,0.6666666666666666,0.8,2.0,1.0,1.0,1.0,1.0,1.0,37.0,0.0,0.375,0.16666666666666666,0.3333333333333333,0.2222222222222222,1.0,2.0
Tread length,1,44695faccae24ceaacf4254f13348b3d,FINISHED,True,0.75,0.3333333333333333,1.0,0.5,2.0,0.0,0.5,1.0,0.8,0.888888888888889,36.0,9.0,0.9166666666666666,0.5,1.0,0.6666666666666666,2.0,0.0
Non-uniform risers/treads,2,c8d64b11bf1644a58a7c61bd5031caf5,FINISHED,True,1.0,1.0,1.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,21.0,0.5,0.0,0.0,0.0,0.0,0.0
Stair--slab connection,2,32adbcad3a4542e4ab0e3bbb02aec775,FINISHED,True,1.0,1.0,1.0,1.0,3.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
Doors and windows,2,78a46a457019446d859eb99fd692ae0e,FINISHED,True,1.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,1.0,1.0,1.0,18.0,0.0
"Large spaces $\geq$\,2 doors",2,376bf58426e149b196fd127ab6f338dd,FINISHED,True,0.6153846153846154,0.6363636363636364,0.3181818181818182,0.4242424242424242,7.0,15.0,0.75,1.0,0.8888888888888888,0.9411764705882353,8.0,1.0,0.14285714285714285,0.8,0.16,0.26666666666666666,4.0,21.0
Same-storey elevation,2,b11992bf63bd43a482ad9e86177230c5,FINISHED,True,1.0,1.0,1.0,1.0,180.0,0.0,0.75,1.0,0.23636363636363636,0.3823529411764706,26.0,84.0,1.0,1.0,1.0,1.0,124.0,0.0
Space validation (inside),2,e18be2e9da644c12a8cdcebb6189e44f,FINISHED,False,0.5588235294117647,0.6666666666666666,0.11764705882352941,0.2,2.0,15.0,0.5,0.0,0.0,0.0,0.0,7.0,0.42045454545454547,1.0,0.17647058823529413,0.3,3.0,14.0
Space validation (intersect),2,54e46a848a554ae6b71e12c2f61145da,FINISHED,False,0.037037037037037035,0.07407407407407407,0.08333333333333333,0.07843137254901962,2.0,22.0,0.21618357487922704,0.19540229885057472,0.3090909090909091,0.23943661971830987,17.0,38.0,0.39431216931216934,0.29411764705882354,0.9090909090909091,0.4444444444444445,20.0,2.0
Circular space (304.3.1),3,544542d3af934d4883fd9e9124f4033f,FINISHED,True,0.75,0.4,1.0,0.5714285714285715,2.0,0.0,0.75,1.0,0.045454545454545456,0.08695652173913045,1.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0
Clear floor space (305.3),3,9f91f80700554f5194cf808e50e3f435,FINISHED,True,0.0,0.0,0.0,0.0,0.0,18.0,0.25,0.0,0.0,0.0,0.0,23.0,0.75,0.0,0.0,0.0,0.0,1.0
Two doors in series (404.2.5),3,56c1dd3692e94ecc98a6befc4dda0055,FINISHED,True,0.5,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,2.0
Clearance front of doors,3,6511cd86b4bf40849008d1cd42a59b3c,FINISHED,False,0.17788461538461536,0.039473684210526314,0.391304347826087,0.07171314741035856,9.0,14.0,0.2553579571363429,0.12307692307692308,0.8,0.21333333333333335,24.0,6.0,0.0625,0.0641025641025641,0.45454545454545453,0.11235955056179772,5.0,6.0
Slabs guarded against falling,3,59e596ad8ef44e958d9a12615a69034f,FINISHED,True,0.5794326241134752,0.8214285714285714,0.7666666666666667,0.793103448275862,23.0,7.0,0.1,0.07142857142857142,0.2,0.10526315789473682,1.0,4.0,0.1,0.2,0.14285714285714285,0.16666666666666666,1.0,6.0
Unallocated areas,3,4a0cc69d252846e58bb89a5a0a11e503,FINISHED,True,0.5952380952380952,0.21052631578947367,0.6666666666666666,0.32,4.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
