Component,Type,Layer,Name,Classification Name
Space,*,*,*GROSS*,Space Group
Space,*,*,*MEN-ACCESSIBLE,Accessible WC
Space,*,*,*SHAFT,Technical
Space,*,*,AMBULATORY ACCESSIBLE WC,Ambulatory Accessible WC Comp
Space,*,*,BEDROOM,Habitable
Space,*,*,CLOSET,Storage
Space,*,*,CONFERENCE*,Institutional
Space,*,*,CORR.,Circulation
Space,*,*,CORRIDOR,Circulation
Space,*,*,ELEC.,Technical
Space,*,*,ELEV*,Elevator
Space,*,*,ENTRY*,Circulation
Space,*,*,FIRING RANGE,Technical
Space,*,*,GARAGE,Garage
Space,*,*,GYM,Special
Space,*,*,KITCHEN,Kitchen
Space,*,*,LIVING ROOM,Habitable
Space,*,*,LOBBY,Lobby
Space,*,*,MECH*,Technical
Space,*,*,MEN,WC
Space,*,*,OFFICE,Office
Space,*,*,PARKING,Garage
Space,*,*,REFUGE,Refuge
Space,*,*,RESTROOM,WC
Space,*,*,SECURITY,Workplace
Space,*,*,SHOP,Mercantile
Space,*,*,STAIR*,Circulation
Space,*,*,STORAGE,Storage
Space,*,*,SUPPLY,Storage
Space,*,*,TECHNICAL,Technical
Space,*,*,TELE.,Technical
Space,*,*,TERRACE,Balcony
Space,*,*,WOMEN,WC
Space,*,*,WORK ROOM,Production
Space,*,Zones,*,Space Group
Space,*,*,*RECORDS*,Office
Space,*,*,*STORAGE*,Storage
Space,*,*,*ROOF*,Technical
Space,*,*,ADMIN WORK STATN,Office
Space,*,*,ADP EQUIP SPACE,Technical
Space,*,*,COMPUTER ROOM,Technical
Space,*,*,*ADMIN*,Office
Space,*,*,*ANALYST*,Office
Space,*,*,*BEE*,Technical
Space,*,*,*CLEAN*,Technical
Space,*,*,*CMDR*,Office
Space,*,*,*COMM*,Technical
Space,*,*,*CONSULT*,Office
Space,*,*,*COUNSELING*,Office
Space,*,*,*DATA*,Technical
Space,*,*,*DECON*,Technical
Space,*,*,*DENTAL*,Institutional
Space,*,*,*DIR*,Office
Space,*,*,*DTR*,Institutional
Space,*,*,*EQUIP*,Technical
Space,*,*,*EXAM*,Institutional
Space,*,*,*INTERACTION*,Institutional
Space,*,*,*JAN*,Technical
Space,*,*,*LAB*,Production
Space,*,*,*LIBRARY*,Institutional
Space,*,*,*LIN.*,Technical
Space,*,*,*LOUNGE*,Institutional
Space,*,*,*MGR*,Office
Space,*,*,*OPEN TO BELOW*,Space Group
Space,*,*,*PHARM*,Institutional
Space,*,*,*RECEPT*,Lobby
Space,*,*,*SEC.*,Office
Space,*,*,*SGT*,Office
Space,*,*,*STO.*,Storage
Space,*,*,*SUPER*,Office
Space,*,*,*TEST*,Institutional
Space,*,*,*TOILET*,WC
Space,*,*,*TRASH*,Technical
Space,*,*,*TRMT*,Institutional
Space,*,*,*UTL.*,Technical
Space,*,*,*VEST.*,Circulation
Space,*,*,*WAIT*,Lobby
Space,*,*,*WORK STATN*,Office
Space,*,*,*X-RAY*,Technical
Space,*,*,APPMTS,Office
Space,*,*,*CHIEF*,Office
Space,*,*,HK. SUPV. OFFICE,Office
Space,*,*,READINESS NCOIC OFFICE,Office
Space,*,*,TECH* OFFICE,Office
Space,*,*,TRICARE OFFICE,Office
Space,*,*,PROVIDER CUBICLES,Office
Space,*,*,BMET WORK STATION,Office
Space,*,*,AUDIO,Institutional
Space,*,*,BLOOD DRAW,Institutional
Space,*,*,*THERAPY*,Institutional
Space,*,*,*VIEW*,Institutional
Space,*,*,FITTING*,Institutional
Space,*,*,FUNDUS*,Institutional
Space,*,*,HIST. / INTV.,Institutional
Space,*,*,IMMUNIZ*,Institutional
Space,*,*,*WTS*,Institutional
Space,*,*,RADIOGRAPHIC ROOM,Institutional
Space,*,*,VISUAL FIELD,Institutional
Space,*,*,DRESS,Institutional
Space,*,*,DEVELOPING,Technical
Space,*,*,HK,Technical
Space,*,*,HK BREAK ROOM,Institutional
Space,*,*,GROUP IS,Technical
Space,*,*,PH TECH,Production
Space,*,*,TECH. WORK ROOM,Production
Space,*,*,CENTRAL ISSUE,Storage
Space,*,*,*ISSUE*,Storage
Space,*,*,CENT. STO.,Storage
Space,*,*,CENTRAL MECH. RM.,Technical
Space,*,*,CONF. ROOM,Institutional
Space,*,*,COPY / FILE,Storage
Space,*,*,DISASTER STOR.,Storage
Space,*,*,ELEC. CL.,Technical
Space,*,*,ELEC. ROOM,Technical
Space,*,*,ELECTRICAL,Technical
Space,*,*,HAZ. STOR.,Storage
Space,*,*,MAIN MECHANICAL ROOM,Technical
Space,*,*,TECH. WORK STATION,Office
Space,*,*,Bathroom*,Bathroom
Space,*,*,Bedroom*,Habitable
Space,*,*,Foyer,Lobby
Space,*,*,Hallway,Circulation
Space,*,*,Room,Habitable
Space,*,*,Utility,Technical
