id,split
1,test
2,train
3,test
4,test
5,train
6,train
7,test
8,test
9,test
10,test
11,train
12,test
13,train
14,train
15,train
16,test
17,train
18,train
19,train
20,test
21,train
22,test
23,train
24,train
25,test
26,test
27,train
28,test
29,test
30,train
31,test
32,train
33,test
34,train
35,train
36,train
37,test
38,train
39,train
40,test
41,test
42,train
43,test
44,train
45,test
46,test
47,test
48,train
49,test
50,train
51,train
52,test
53,test
54,train
55,train
56,test
57,train
58,test
59,test
60,test
61,test
62,train
63,test
64,train
65,train
66,test
67,train
68,test
69,train
70,test
71,test
72,test
73,test
74,test
75,test
76,test
77,train
78,test
79,train
80,train
81,test
82,test
83,test
84,test
85,train
86,train
87,train
88,test
89,train
90,test
91,train
92,train
93,train
94,test
95,test
96,test
97,test
98,train
99,train
100,test
101,test
102,train
103,test
104,test
105,test
106,test
107,test
108,train
109,test
110,test
111,test
112,test
113,test
114,train
115,test
116,train
117,train
118,test
119,test
120,train
121,train
122,train
123,test
124,test
125,train
126,train
127,train
128,test
129,test
130,train
131,test
132,test
133,train
134,test
135,test
136,test
137,train
138,test
139,train
140,train
141,train
142,test
143,test
144,test
145,train
146,train
147,test
148,train
149,train
150,train
151,train
152,test
153,test
154,train
155,train
156,train
157,test
158,train
159,test
160,test
161,train
162,test
163,train
164,test
165,train
166,test
167,test
168,test
169,test
170,test
171,test
172,train
173,train
174,train
175,train
176,test
177,train
178,train
179,train
180,train
181,train
182,test
183,test
184,test
185,train
186,train
187,train
188,test
189,train
190,train
191,test
192,train
193,train
194,train
195,test
196,train
197,test
198,test
199,train
200,train
201,train
202,train
203,train
204,test
205,test
206,test
207,train
208,train
209,test
210,test
211,train
212,train
213,train
214,train
215,test
216,test
217,test
218,test
219,test
220,test
221,test
222,train
223,test
224,test
225,test
226,test
227,train
228,test
229,test
230,train
231,test
232,train
233,train
234,test
235,test
236,test
237,train
238,train
239,test
240,train
241,test
242,train
243,test
244,test
245,test
246,test
247,test
248,train
249,test
250,train
251,test
252,train
253,test
254,test
255,test
256,test
257,train
258,test
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,test
269,test
270,test
271,test
272,test
273,train
274,test
275,test
276,train
277,test
278,train
279,test
280,train
281,train
282,train
283,train
284,test
285,test
286,test
287,train
288,train
289,test
290,train
291,train
292,test
293,test
294,train
295,train
296,train
297,test
298,train
299,train
300,train
301,test
302,train
303,train
304,test
305,train
306,test
307,test
308,test
309,train
310,test
311,train
312,train
313,test
314,train
315,test
316,test
317,train
318,train
319,train
320,test
321,train
322,test
323,test
324,test
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,test
333,test
334,train
335,train
336,train
337,test
338,train
339,test
340,test
341,test
342,test
343,train
344,train
345,test
346,train
347,test
348,test
349,test
350,train
351,train
352,test
353,test
354,train
355,train
356,train
357,train
358,test
359,test
360,test
361,train
362,train
363,test
364,test
365,train
366,train
367,test
368,test
369,train
370,train
371,test
372,test
373,train
374,test
375,train
376,train
377,train
378,train
379,test
380,test
381,train
382,train
383,test
384,train
385,train
386,train
387,train
388,test
389,test
390,test
391,test
392,test
393,train
394,train
395,test
396,train
397,train
398,train
399,train
400,test
401,train
402,train
403,train
404,train
405,train
406,test
407,train
408,train
409,test
410,test
411,test
412,train
413,test
414,test
415,train
416,train
417,test
418,train
419,train
420,train
421,test
422,test
423,test
424,train
425,train
426,train
427,train
428,train
429,train
430,test
431,train
432,train
433,test
434,test
435,train
436,train
437,train
438,test
439,test
440,train
441,test
442,test
443,train
444,train
445,train
446,test
447,train
448,train
449,test
450,train
451,train
452,train
453,test
454,test
455,train
456,train
457,train
458,train
459,train
460,test
461,train
462,train
463,test
464,train
465,test
466,test
467,train
468,train
469,test
470,test
471,test
472,test
473,train
474,test
475,train
476,train
477,train
478,train
479,test
480,test
481,train
482,test
483,train
484,train
485,test
486,train
487,test
488,train
489,test
490,train
491,train
492,train
493,test
494,train
495,train
496,train
497,train
498,test
499,test
500,train
501,test
502,test
503,train
504,train
505,train
506,test
507,train
508,train
509,train
510,train
511,train
512,test
513,test
514,train
515,test
516,train
517,train
518,test
519,test
520,test
521,test
522,test
523,train
524,train
525,test
526,train
527,test
528,train
529,train
530,test
531,train
532,train
533,train
534,train
535,train
536,test
537,train
538,test
539,train
540,train
541,test
542,test
543,train
544,test
545,train
546,test
547,test
548,train
549,train
550,test
551,test
552,test
553,test
554,test
555,train
556,test
557,test
558,train
559,test
560,train
561,train
562,train
563,test
564,test
565,test
566,test
567,test
568,test
569,train
570,test
571,test
572,train
573,train
574,train
575,test
576,train
577,test
578,train
579,test
580,train
581,test
582,train
583,train
584,test
585,test
586,train
587,train
588,train
589,train
590,train
591,test
592,test
593,test
594,test
595,train
596,train
597,train
598,test
599,test
600,train
601,train
602,train
603,test
604,test
605,test
606,train
607,train
608,train
609,test
610,test
